,previous cube,nextcube,i8',v12,v14,v20,i2',i6,v30,i4',i10,i4,i2,v16,v24,v26,v18,i10',i8,v22,i6',v28
7,"3: [i10 == True, i10' == False, i2 == True, i2' == True, i4 == True, i4' == False, i6 == True, i6' == True, i8 == True, i8' == False, v12 == True, v14 == False, v16 == False, v18 == True, v20 == True, v22 == False, v24 == True, v26 == True, v28 == True, v30 == True]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",1.0,0,1,0,0.0,0,1,1.0,1,1.0,0.0,1,1,0,0,1.0,1.0,1,0.0,1.0
8,"2: [i10 == False, i2 == True, i6 == True, v12 == True, v14 == False, v16 == False, v18 == False, v20 == False, v22 == True, v24 == False, v26 == False, v30 == False]","(and (not (and (not v14) (not v12)))
     i2
     (not (and (not v22) (not v20)))
     i6
     (not v30)
     v22)",,0,1,1,,0,0,,1,,0.0,1,1,1,1,,,0,,
9,"3: [i10 == True, i10' == False, i4 == True, i4' == True, i6 == True, i6' == True, i8 == True, i8' == False, v12 == False, v14 == False, v16 == False, v18 == True, v20 == True, v22 == True, v24 == False, v26 == True, v28 == True, v30 == True]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",1.0,1,1,1,,0,1,0.0,1,0.0,,1,1,0,0,1.0,1.0,0,0.0,1.0
10,"4: [i10 == True, i10' == True, i2 == True, i2' == True, i4 == True, i4' == False, i6 == True, i6' == True, i8 == True, i8' == False, v12 == False, v14 == True, v16 == True, v18 == True, v20 == True, v22 == False, v24 == False, v26 == True, v28 == True, v30 == True]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",1.0,1,0,1,0.0,1,1,1.0,0,1.0,0.0,1,1,1,0,0.0,1.0,1,1.0,0.0
11,"3: [i10 == False, i4 == False, i6 == True, i8 == False, v12 == False, v14 == False, v16 == False, v18 == True, v20 == True, v22 == True, v24 == False, v26 == False, v28 == False, v30 == False]",(and v18 (not (and (not v22) (not v20))) i6 (not v30) v22),,1,1,1,,0,0,,1,1.0,,1,1,1,0,,1.0,0,,1.0
12,"4: [i10 == True, i10' == True, i2 == True, i2' == True, i4 == True, i4' == False, i6 == True, i6' == False, i8 == True, i8' == False, v12 == False, v14 == True, v16 == True, v18 == True, v20 == True, v22 == False, v24 == True, v26 == False, v28 == True, v30 == True]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",1.0,1,0,1,0.0,1,1,1.0,0,1.0,0.0,1,1,1,0,0.0,1.0,1,1.0,0.0
13,"3: [i10 == True, i4 == False, i6 == False, i8 == True, v12 == False, v14 == False, v16 == False, v18 == True, v20 == False, v22 == True, v24 == True, v26 == False, v28 == True, v30 == True]",(and v18 v22 (not (and v30 (not v28))) i10),,1,1,1,,1,1,,0,1.0,,1,1,1,0,,1.0,0,,0.0
14,"4: [i10 == True, i10' == True, i2 == True, i2' == False, i4 == True, i4' == True, i6 == False, i6' == False, i8 == False, i8' == False, v12 == False, v14 == True, v16 == True, v18 == False, v20 == True, v22 == True, v24 == False, v26 == False, v28 == True, v30 == True]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",1.0,1,0,1,1.0,1,1,0.0,0,0.0,1.0,0,1,1,1,0.0,1.0,0,1.0,0.0
15,"3: [i10 == True, i4 == True, i6 == True, i8 == False, v12 == False, v14 == False, v16 == False, v18 == True, v20 == True, v22 == False, v24 == False, v26 == True, v28 == True, v30 == True]",(and v18 (not (and (not v18) (not v16))) i4 v26 (not (and v30 (not v28))) i10),,1,1,1,,1,1,,0,0.0,,1,1,0,0,,1.0,1,,0.0
16,"2: [i10 == True, i6 == False, v12 == False, v14 == False, v16 == False, v18 == False, v20 == False, v22 == True, v24 == False, v26 == False, v30 == False]",(and (not (and v30 (not v28))) i10 (not v30) v22),,1,1,1,,1,0,,0,,,1,1,1,1,,,0,,
17,"5: [i10 == True, i10' == True, i2 == True, i2' == False, i4 == True, i4' == False, i6 == True, i6' == False, i8 == True, i8' == True, v12 == True, v14 == True, v16 == True, v18 == False, v20 == True, v22 == False, v24 == True, v26 == False, v28 == False, v30 == False]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",0.0,1,0,1,1.0,1,0,1.0,0,1.0,1.0,1,0,1,1,0.0,0.0,1,1.0,1.0
18,"5: [i10 == False, i10' == False, i2 == False, i2' == False, i4 == False, i4' == False, i6 == True, i6' == True, i8 == True, i8' == True, v12 == False, v14 == False, v16 == False, v18 == False, v20 == True, v22 == False, v24 == True, v26 == True, v28 == False, v30 == False]","(let ((a!1 (and (not (not v14)) (not (and v30 (not v28))) i10))
      (a!2 (and v22 (not (and (not v18) (not v16))) i4))
      (a!3 (and v18 (not (and (not v14) (not v12))) i2))
      (a!4 (and v26 (not (and (not v22) (not v20))) i6))
      (a!5 (and (not v30) (not (and (not v26) (not v24))) i8)))
(let ((a!6 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)
                          (not |i4'|)))
                (not a!3)))
      (a!7 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)
                          (not |i6'|)))
                (not a!2)))
      (a!8 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)
                          (not |i8'|)))
                (not a!4)))
      (a!9 (and (not (and (not a!1)
                          (not a!2)
                          (not a!3)
                          (not a!4)
                          (not a!5)
                          (not |i10'|)))
                (not a!5)))
      (a!10 (and (not a!1) (not (and (not a!2) (not a!3) (not a!4) (not a!5))))))
(let ((a!11 (and (not (and (not a!6) |i2'| (not a!7) |i4'|))
                 (not (and (not a!6) |i2'| (not a!8) |i6'|))
                 (not (and (not a!6) |i2'| (not a!9) |i8'|))
                 (not (and (not a!6) |i2'| (not a!10) |i10'|))
                 (not (and (not a!7) |i4'| (not a!8) |i6'|))
                 (not (and (not a!7) |i4'| (not a!9) |i8'|))
                 (not (and (not a!7) |i4'| (not a!10) |i10'|))
                 (not (and (not a!8) |i6'| (not a!9) |i8'|))
                 (not (and (not a!8) |i6'| (not a!10) |i10'|))
                 (not (and (not a!10) |i10'| (not a!9) |i8'|)))))
  (not a!11))))",0.0,1,1,0,1.0,0,0,1.0,1,1.0,1.0,1,1,0,1,1.0,0.0,1,0.0,1.0
